Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","2299","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2911","Pulses","2020","2020","1000 t","1058","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2912","Treenuts","2020","2020","1000 t","21","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2913","Oilcrops","2020","2020","1000 t","54242","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","8657","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2918","Vegetables","2020","2020","1000 t","3837","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","7070","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2922","Stimulants","2020","2020","1000 t","1149","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2923","Spices","2020","2020","1000 t","12","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2924","Alcoholic Beverages","2020","2020","1000 t","3222","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2943","Meat","2020","2020","1000 t","6227","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2945","Offals","2020","2020","1000 t","610","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2946","Animal fats","2020","2020","1000 t","413","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2949","Eggs","2020","2020","1000 t","873","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","11113","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","828.69","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5511","Production","F2961","Aquatic Products, Other","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","242","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","437","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","55","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","66","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2911","Pulses","2020","2020","1000 t","4","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2912","Treenuts","2020","2020","1000 t","5","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2913","Oilcrops","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2918","Vegetables","2020","2020","1000 t","789","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","554","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2922","Stimulants","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2924","Alcoholic Beverages","2020","2020","1000 t","128","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2943","Meat","2020","2020","1000 t","107","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2945","Offals","2020","2020","1000 t","18","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5511","Production","F2946","Animal fats","2020","2020","1000 t","4","E","Estimated value"
