Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.7578","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.1705","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.9283","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","246.012","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","246.012","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.7283","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.1639","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.8922","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","236.4239","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","236.4239","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.7544","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.1697","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.9242","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","244.9087","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","244.9087","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.8049","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.1811","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.986","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","261.284","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","261.284","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.7572","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.1704","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.9276","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","245.8025","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","245.8025","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.7181","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.1616","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.8797","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","233.1156","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","233.1156","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.6894","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.1551","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.8445","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","223.7916","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","223.7916","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.697","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.1568","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.8539","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","226.2717","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","226.2717","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.7686","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.1729","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.9416","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","249.5115","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","249.5115","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.7864","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.1769","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.9634","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","255.2953","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","255.2953","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","0.9004","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","0.2026","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","1.103","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","292.2905","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","292.2905","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","0.9623","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","0.2165","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","1.1789","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","312.3966","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","312.3966","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","0.8684","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","0.1954","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","1.0637","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","281.892","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","281.892","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.7914","E","Estimated value",""
